,teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
118,CHN,NL,5,0,34,8,1,0,2,5,0,7,2,3,4,4,1,0.235294118,0.235294118,0.441176471,0.676470588,1
119,CHN,NL,4,0,32,7,1,0,2,4,3,4,5,3,0,0,0,0.21875,0.285714286,0.4375,0.723214286,1
120,CHN,NL,1,0,32,6,1,0,0,1,0,10,4,4,7,7,0,0.1875,0.1875,0.21875,0.40625,0
121,CHN,NL,3,0,31,6,0,0,2,3,0,8,2,4,2,2,1,0.193548387,0.193548387,0.387096774,0.580645161,1
122,CHN,NL,5,0,39,14,3,0,1,5,3,8,10,4,5,5,2,0.358974359,0.404761905,0.512820513,0.917582418,0
123,CHN,NL,14,1,41,18,9,0,1,14,2,9,7,4,0,0,2,0.43902439,0.477272727,0.731707317,1.208980044,1
124,CHN,NL,7,1,37,10,2,0,1,7,0,8,3,5,11,11,1,0.27027027,0.27027027,0.405405405,0.675675676,0
125,CHN,NL,5,1,35,11,4,0,0,5,2,9,9,6,2,2,1,0.314285714,0.368421053,0.428571429,0.796992481,1
126,CHN,NL,7,1,33,11,1,0,2,7,1,5,4,5,6,6,0,0.333333333,0.352941176,0.545454545,0.898395722,1
127,CHN,NL,5,1,35,12,4,0,1,4,4,6,12,3,3,3,0,0.342857143,0.4,0.542857143,0.942857143,1
128,CHN,NL,5,1,32,10,0,1,2,5,3,5,5,6,14,14,1,0.3125,0.378378378,0.5625,0.940878378,0
129,CHN,NL,5,1,31,8,1,0,2,4,1,8,3,4,4,4,1,0.258064516,0.28125,0.483870968,0.765120968,1
130,CHN,NL,3,1,35,7,1,1,0,3,3,9,8,4,6,6,2,0.2,0.263157895,0.285714286,0.54887218,0
131,CHN,NL,4,0,35,7,0,0,0,2,4,10,9,2,0,0,1,0.2,0.275,0.2,0.475,1
132,CHN,NL,1,0,30,4,1,0,1,1,1,6,3,4,0,0,0,0.133333333,0.161290323,0.266666667,0.427956989,1
133,CHN,NL,0,0,32,5,1,0,0,0,4,9,9,4,2,2,1,0.15625,0.25,0.1875,0.4375,0
134,CHN,NL,5,0,37,10,1,0,0,5,1,6,8,5,1,1,0,0.27027027,0.307692308,0.297297297,0.604989605,1
135,CHN,NL,7,0,41,15,3,0,0,7,2,9,9,2,2,2,1,0.365853659,0.395348837,0.43902439,0.834373227,1
136,CHN,NL,7,0,35,9,4,0,2,7,2,9,4,6,2,2,1,0.257142857,0.289473684,0.542857143,0.832330827,1
137,CHN,NL,2,0,30,5,2,0,0,2,4,6,5,4,0,0,1,0.166666667,0.264705882,0.233333333,0.498039216,1
138,CHN,NL,5,0,33,7,4,0,0,4,8,11,10,5,3,3,1,0.212121212,0.365853659,0.333333333,0.699186992,1
139,CHN,NL,13,0,37,10,4,0,1,12,12,10,10,4,3,3,0,0.27027027,0.448979592,0.459459459,0.908439051,1
140,CHN,NL,0,1,28,2,0,0,0,0,1,4,3,3,1,1,0,0.071428571,0.133333333,0.071428571,0.204761905,0
141,CHN,NL,2,1,28,5,1,0,1,1,4,8,6,2,0,0,0,0.178571429,0.28125,0.321428571,0.602678571,1
142,CHN,NL,0,1,33,7,2,0,0,0,1,12,7,6,13,13,0,0.212121212,0.235294118,0.272727273,0.50802139,0
143,CHN,NL,1,1,33,6,2,0,1,1,2,8,7,5,7,7,0,0.181818182,0.228571429,0.333333333,0.561904762,0
144,CHN,NL,7,1,34,10,3,1,0,6,5,3,8,3,2,2,1,0.294117647,0.384615385,0.441176471,0.825791855,1
145,CHN,NL,1,0,33,7,3,0,0,1,3,5,8,3,0,0,0,0.212121212,0.277777778,0.303030303,0.580808081,1
146,CHN,NL,5,0,36,10,1,0,2,4,2,11,8,3,2,2,0,0.277777778,0.315789474,0.472222222,0.788011696,1
147,CHN,NL,0,0,31,4,1,0,0,0,2,11,6,2,3,3,0,0.129032258,0.181818182,0.161290323,0.343108504,0
148,CHN,NL,1,0,32,6,1,0,0,1,2,12,7,4,0,0,0,0.1875,0.235294118,0.21875,0.454044118,1
149,CHN,NL,2,0,32,6,2,0,0,2,8,6,12,3,0,0,1,0.1875,0.35,0.25,0.6,1
150,CHN,NL,8,0,38,12,3,0,1,8,6,9,10,5,2,2,1,0.315789474,0.422222222,0.473684211,0.895906433,1
151,CHN,NL,0,0,33,6,1,0,0,0,3,12,9,4,3,3,1,0.181818182,0.25,0.212121212,0.462121212,0
152,CHN,NL,3,1,38,11,0,0,0,2,2,8,10,4,6,6,0,0.289473684,0.325,0.289473684,0.614473684,0
