Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100508,BAL,AL,31,MIN,AL,31,1,6,51,MIN04,38863.0,30,4,0,0,1,1,0,0,0,0,0,8,0,0,1,0,2,3,6,6,0,0,24,6,0,0,2,0,32,10,3,0,0,5,0,0,0,5,1,5,0,0,2,0,7,2,1,1,0,0,27,13,0,0,1,0,bakes002,millk004,,millk004,bakes002,,0.13333333333333333,0.3125,0.13333333333333333,0.40540540540540543,0.23333333333333334,0.40625,0.3666666666666667,0.8116554054054055,0.0,1.0
20100509,BAL,AL,32,MIN,AL,32,0,6,51,MIN04,38641.0,32,6,1,0,0,0,0,0,0,2,0,1,0,0,1,0,7,4,6,6,0,0,24,10,0,0,0,0,34,12,2,1,0,6,0,1,0,1,0,6,1,0,0,0,6,3,0,0,0,0,27,12,0,0,1,0,blacn001,matub001,,matub001,blacn001,,0.1875,0.35294117647058826,0.23529411764705882,0.3611111111111111,0.21875,0.47058823529411764,0.4540441176470588,0.8316993464052287,0.0,0.0
20100511,SEA,AL,32,BAL,AL,33,5,1,54,BAL12,12614.0,35,10,2,0,1,4,0,0,0,5,1,4,0,1,1,0,8,2,1,1,0,0,27,13,1,0,2,0,34,8,2,0,0,1,0,0,0,0,0,2,0,0,2,0,6,3,4,4,2,0,27,11,1,0,1,0,lee-c003,hernd002,leagb001,lee-c003,hernd002,,0.2857142857142857,0.23529411764705882,0.375,0.23529411764705882,0.42857142857142855,0.29411764705882354,0.8035714285714286,0.5294117647058824,0.0,0.0
20100512,SEA,AL,33,BAL,AL,34,2,5,51,BAL12,11448.0,31,7,1,0,0,2,1,1,0,3,1,4,1,0,2,0,7,5,5,5,0,0,24,12,1,0,0,0,35,12,3,0,1,5,0,1,0,1,0,7,0,0,0,0,8,4,2,2,0,0,27,12,1,0,2,0,bergb002,rowlr002,simoa001,rowlr002,bergb002,,0.22580645161290322,0.34285714285714286,0.2857142857142857,0.35135135135135137,0.25806451612903225,0.5142857142857142,0.543778801843318,0.8656370656370656,1.0,0.0
20100513,SEA,AL,34,BAL,AL,35,5,6,51,BAL12,20938.0,32,8,1,0,3,5,1,0,1,3,0,6,0,1,0,0,5,2,6,6,2,0,24,10,0,0,1,0,32,8,1,0,2,6,0,0,0,3,0,9,0,0,1,0,5,3,5,5,0,0,27,13,0,0,0,0,hendm001,leagb001,simoa001,hernf002,millk004,,0.25,0.25,0.3333333333333333,0.3142857142857143,0.5625,0.46875,0.8958333333333333,0.7830357142857143,1.0,1.0
20100514,CLE,AL,33,BAL,AL,36,1,8,51,BAL12,25902.0,30,3,0,0,0,1,0,0,2,1,0,7,0,0,0,0,5,4,8,8,1,0,24,15,2,0,2,0,37,14,1,1,0,7,0,0,2,6,1,7,0,0,2,0,13,2,1,1,0,0,27,7,0,0,0,0,guthj001,mastj001,,mastj001,guthj001,,0.1,0.3783783783783784,0.18181818181818182,0.4888888888888889,0.1,0.4594594594594595,0.28181818181818186,0.9483483483483484,1.0,1.0
20100515,CLE,AL,34,BAL,AL,37,8,2,54,BAL12,29545.0,37,13,1,0,2,8,1,0,0,8,0,8,0,1,1,0,11,2,2,2,0,0,27,9,0,0,0,0,31,6,2,0,2,2,0,0,0,2,0,4,0,2,0,0,4,6,8,8,0,0,27,12,0,0,1,0,talbm001,simoa001,,talbm001,matub001,,0.35135135135135137,0.1935483870967742,0.4666666666666667,0.24242424242424243,0.5405405405405406,0.45161290322580644,1.0072072072072071,0.6940371456500489,0.0,1.0
20100516,CLE,AL,35,BAL,AL,38,5,1,54,BAL12,29323.0,36,12,2,0,2,5,0,0,0,0,0,4,0,0,2,0,4,1,1,1,0,0,27,13,0,0,2,0,33,9,0,0,1,1,0,0,0,1,0,8,0,0,2,0,6,4,5,5,0,0,27,16,0,0,2,0,westj001,hendm001,,westj001,hendm001,,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.29411764705882354,0.5555555555555556,0.36363636363636365,0.8888888888888888,0.6577540106951871,0.0,0.0
20100517,KCA,AL,39,BAL,AL,39,4,3,54,BAL12,9299.0,36,10,3,0,0,3,0,0,1,2,1,4,1,1,1,0,8,4,3,3,0,0,27,11,1,0,1,0,35,10,0,0,0,3,1,0,1,3,1,3,2,0,1,0,10,3,3,3,0,1,27,12,1,0,1,0,davik002,bergb002,sorij001,davik002,bergb002,,0.2777777777777778,0.2857142857142857,0.3333333333333333,0.358974358974359,0.3611111111111111,0.2857142857142857,0.6944444444444444,0.6446886446886446,0.0,0.0
20100518,KCA,AL,40,BAL,AL,40,3,4,58,BAL12,9715.0,40,11,1,0,0,3,0,0,0,1,0,9,0,1,0,0,8,4,4,4,0,0,28,10,1,0,0,0,36,8,1,0,3,4,0,0,0,3,0,7,0,1,0,0,7,3,3,3,0,0,30,9,0,0,0,0,simoa001,bullb001,,greiz001,millk004,,0.275,0.2222222222222222,0.2926829268292683,0.28205128205128205,0.3,0.5,0.5926829268292683,0.782051282051282,1.0,0.0
