team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
56,Jun 6,@,HOU,"L,3-6",8.0,9,6,6,0,3,3,1,0,4.07,34,131,75,2,0,1,0,31,0,0,1,0,0,0,0,3,Alan Porter,"R.Wells (5-26-L), A.Cashner (1), B.Howry (1)"
57,Jun 7,@,PIT,"W,6-1",9.0,6,1,1,0,2,7,0,0,4.01,35,127,91,1,0,0,0,32,4,1,0,0,1,0,0,3,Mike DiMuro,"C.Silva (8-69-W), J.Stevens (1-H), S.Marshall (1-Sv)"
58,Jun 8,@,MIL,"L,2-3",8.2,5,3,3,0,1,8,1,1,4.00,32,108,76,0,0,2,0,30,0,0,1,0,0,0,1,2,Jim Wolf,"T.Lilly (6-78), C.Marmol (2-BL)"
59,Jun 9,@,MIL,"W,9-4",9.0,7,4,4,0,5,5,0,1,4.00,40,148,87,3,1,0,0,33,3,0,0,0,1,0,0,4,Derryl Cousins,"C.Zambrano (4-48-W), J.Russell (8), A.Cashner (2-H), S.Marshall (1)"
60,Jun 10,@,MIL,"L,4-5",9.1,7,5,2,3,9,7,1,1,3.96,45,185,100,3,1,0,0,34,3,0,1,1,0,1,1,5,Marvin Hudson,"R.Dempster (4-46), T.Gorzelanny (5-H), J.Stevens (2-BSv), S.Marshall (0), B.Howry (3-L)"
61,Jun 11,1,CHW,"L,5-10",9.0,16,10,10,0,4,8,3,0,4.06,46,167,98,0,0,2,1,42,4,0,1,0,0,0,0,5,CB Bucknor,"R.Wells (4-30-L), J.Stevens (0), J.Russell (1), B.Howry (0), T.Gorzelanny (0)"
62,Jun 12,1,CHW,"L,1-2",9.0,9,2,2,0,3,8,0,3,4.03,41,158,101,0,0,1,0,34,1,0,1,1,0,0,1,3,Doug Eddings,"C.Silva (4-59-L), A.Cashner (2), C.Marmol (3)"
63,Jun 13,1,CHW,"W,1-0",9.0,1,0,0,0,3,4,0,2,3.96,32,126,80,1,0,0,0,27,0,0,1,0,0,0,1,2,Dana DeMuth,"T.Lilly (4-82-W), C.Marmol (0-Sv)"
64,Jun 15,1,OAK,"L,5-9",9.0,13,9,5,4,4,5,0,0,3.98,44,147,91,0,0,0,0,39,2,1,0,1,0,2,2,4,Sam Holbrook,"C.Zambrano (5-45-L), J.Stevens (3), J.Grabow (15), S.Marshall (4)"
65,Jun 16,1,OAK,"W,6-2",9.0,9,2,2,0,2,10,0,0,3.95,36,142,91,1,0,0,0,32,0,0,0,1,1,0,2,3,Greg Gibson,"R.Dempster (5-55-W), S.Marshall (0), C.Marmol (2)"
66,Jun 17,1,OAK,"W,3-2",9.0,8,2,2,0,2,6,1,0,3.92,37,151,89,1,0,2,0,34,2,0,0,1,0,0,0,3,Brian Knight,"R.Wells (5-60), A.Cashner (4), C.Marmol (0-W)"
67,Jun 18,1,LAA,"L,6-7",9.0,7,7,3,4,2,7,2,0,3.91,38,116,77,0,0,2,0,33,1,0,0,3,0,3,1,4,Ed Hickox,"C.Silva (5-52-L), B.Howry (6), J.Grabow (2), T.Gorzelanny (6)"
68,Jun 19,1,LAA,"L,0-12",9.0,15,12,8,4,8,10,2,0,3.97,50,195,117,5,1,1,0,42,3,0,1,0,0,2,2,4,Fieldin Culbreth,"T.Lilly (5-26-L), J.Stevens (3), J.Grabow (0), B.Howry (0)"
